sample_id,word_count,character_count,proficiency_label,total_error_annotations,article_error,capitalization_error,nominalization_error,number_agreement_error,other,preposition_error,pronoun_case_error,punctuation_error,spelling_error,subject-verb_agreement_error,subject-verb_order_error,subject/object_omission_error,verb_tense_error
2251,139,695,Intermediate,10,0,1,0,0,2,1,0,3,1,0,0,1,1
2252,133,774,Advanced,11,0,0,0,3,0,1,0,3,4,0,0,0,0
2253,123,624,Intermediate,15,3,0,0,0,2,2,3,2,3,0,0,0,0
2254,170,846,Intermediate,6,0,0,0,0,2,0,0,1,3,0,0,0,0
2255,117,566,Beginner,15,0,0,0,0,2,3,0,4,0,0,0,1,5
2256,230,1220,Advanced,6,0,0,0,0,1,3,0,0,1,0,0,1,0
2257,58,262,Beginner,12,0,1,0,0,2,5,0,1,1,0,0,1,1
2258,86,436,Intermediate,4,0,0,0,0,0,0,1,2,1,0,0,0,0
2259,164,838,Intermediate,15,0,0,0,0,5,2,0,4,3,0,1,0,0
2260,82,412,Beginner,16,0,1,0,0,4,1,0,0,4,5,0,0,1
2261,153,753,Beginner,19,4,1,0,0,2,3,2,3,2,0,0,0,2
2262,84,427,Beginner,8,0,0,0,0,2,2,0,1,0,2,0,0,1
2263,80,415,Intermediate,7,2,0,0,0,1,0,0,2,0,2,0,0,0
2264,130,665,Intermediate,9,0,0,1,0,1,3,1,0,0,3,0,0,0
2265,132,578,,8,0,1,0,0,0,1,0,2,3,1,0,0,0
2266,105,520,Beginner,9,0,0,0,1,2,0,1,3,0,1,0,1,0
2267,98,464,Beginner,17,3,0,0,0,5,1,0,2,0,1,0,3,2
2268,176,982,Advanced,3,0,0,0,0,0,1,0,1,1,0,0,0,0
2269,116,547,Beginner,9,1,1,0,0,1,2,0,3,0,0,0,0,1
2270,178,1016,Advanced,4,0,0,0,0,0,1,0,0,3,0,0,0,0
2271,80,370,Beginner,23,2,1,0,0,6,4,0,3,1,1,0,1,4
2272,75,348,,2,0,1,0,0,0,0,0,1,0,0,0,0,0
2273,173,881,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2274,88,409,,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2275,80,403,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2276,118,560,,6,0,1,0,0,0,0,0,4,1,0,0,0,0
2277,87,440,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2278,232,1237,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2279,159,821,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2280,248,1208,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2281,76,423,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2282,176,843,,4,0,0,0,0,0,0,0,2,2,0,0,0,0
2283,116,511,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2284,155,916,,4,0,0,0,0,0,0,0,0,4,0,0,0,0
2285,156,870,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
